"mahalle_id","mahalle","ilce","toplam_siparis","musteri_sayisi","nufus","talep_yogunlugu","penetrasyon_orani"
313,"FETHİYEOSB","Nilüfer","14","12",NULL,NULL,NULL
464,"IŞIKTEPEOSB","Nilüfer","210","123",NULL,NULL,NULL
246,"Dumlupınar","Nilüfer","2483","1634","28594","0.0868","0.0571"
50,"Alacamescit","Osmangazi","22","15","290","0.0759","0.0517"
363,"Görükle","Nilüfer","2317","1607","32489","0.0713","0.0495"
225,"Dereçavuşköy","Osmangazi","29","22","474","0.0612","0.0464"
2,"19 Mayıs","Nilüfer","286","185","4371","0.0654","0.0423"
679,"Odunluk","Nilüfer","480","297","7362","0.0652","0.0403"
685,"Orhanbey","Osmangazi","13","11","291","0.0447","0.0378"
742,"Santral Garaj","Osmangazi","63","29","794","0.0793","0.0365"
838,"Ulu","Osmangazi","119","68","2024","0.0588","0.0336"
1062,"Şehreküstü","Osmangazi","16","13","409","0.0391","0.0318"
47,"Alaaddinbey","Nilüfer","38","30","965","0.0394","0.0311"
3,"23 Nisan","Nilüfer","956","617","21042","0.0454","0.0293"
607,"Kırcaali","Osmangazi","77","40","1382","0.0557","0.0289"
526,"Kayıhan","Osmangazi","45","35","1214","0.0371","0.0288"
63,"Altınşehir","Nilüfer","932","529","18830","0.0495","0.0281"
835,"Tuzpazarı","Osmangazi","11","7","279","0.0394","0.0251"
1017,"Özlüce","Nilüfer","149","101","4073","0.0366","0.0248"
177,"Cumhuriyet","Nilüfer","679","415","16705","0.0406","0.0248"
17,"Ahmet Yesevi","Nilüfer","359","223","9021","0.0398","0.0247"
730,"Reyhan","Osmangazi","22","12","504","0.0437","0.0238"
589,"Kükürtlü","Osmangazi","375","257","11217","0.0334","0.0229"
545,"Kiremitçi","Osmangazi","109","67","3037","0.0359","0.0221"
4,"29 Ekim","Nilüfer","510","315","14587","0.0350","0.0216"
701,"Osmangazi","Osmangazi","60","45","2086","0.0288","0.0216"
739,"Sakarya","Osmangazi","124","86","4197","0.0295","0.0205"
590,"Kültür","Nilüfer","472","274","13452","0.0351","0.0204"
120,"Barış","Nilüfer","388","271","13667","0.0284","0.0198"
109,"Balat","Nilüfer","622","416","21167","0.0294","0.0197"
